rname,rbranch,foodname,description,stock,price,fcategory
Feedburner Eats,Bubutan,Risotto,Fluffy and warm risotto,7,20000,FC3
Feedburner Eats,Bubutan,Casserole,Calming casserole,8,25000,FC3
Feedburner Eats,Bubutan,Carbonara,Soothing carbonara,9,28000,FC3
Warung Webs,Penjaringan,Risotto,Warm and fluffy risotto,10,18000,FC3
Warung Webs,Penjaringan,Casserole,Delightful casserole,11,29000,FC3
Warung Webs,Penjaringan,Carbonara,Creamy carbonara,12,24000,FC3
Stanford Resto,Setiabudi,Salmon Sashimi,Fresh cuts of salmon,13,45000,FC4
Stanford Resto,Setiabudi,Yakisoba,Chill and cold noodles,14,48000,FC4
Stanford Resto,Setiabudi,Tuna Nigiri,Thin slice of tuna over rice,5,30000,FC4
NatGeo Eats,Semarang Selatan,Salmon Sashimi,Fresh cuts of salmon,6,45000,FC4
NatGeo Eats,Semarang Selatan,Yakisoba,Chill and cold noodles,7,48000,FC4
NatGeo Eats,Semarang Selatan,Tuna Nigiri,Thin slice of tuna over rice,8,30000,FC4
Ovh Diner,Kebon Jeruk,Rujak Cingur,Fruits and veggies with sauce,9,15000,FC2
Ovh Diner,Kebon Jeruk,Rawon,Hearty beef stew,10,20000,FC2
Ovh Diner,Kebon Jeruk,Gudeg,Sweet and filling,11,22000,FC2
RM Xrea,Medan Kota,Rujak Cingur,Fruits and veggies with sauce,12,15000,FC2
RM Xrea,Medan Kota,Rawon,Hearty beef stew,13,20000,FC2
RM Xrea,Medan Kota,Gudeg,Sweet and filling,14,22000,FC2
Warteg Yellowbook,Pakualaman,Pad Thai,Spicy stir-fried noodles,5,34000,FC5
Warteg Yellowbook,Pakualaman,Tom Yum,Warm and sour soup,6,24000,FC5
Warteg Yellowbook,Pakualaman,Som Tam,Papaya salad,7,20000,FC5
Image Shack,Pademangan,Pad Thai,Spicy stir-fried noodles,8,34000,FC5
Image Shack,Pademangan,Tom Yum,Warm and sour soup,9,24000,FC5
Image Shack,Pademangan,Som Tam,Papaya salad,10,20000,FC5
Warmindo Imgur,Taman Sari,Rendang Sapi,Dry and flavorful beef,11,20000,FC1
Warmindo Imgur,Taman Sari,Dendeng Batoko,Spicy and flavorful beef slices,12,20000,FC1
Warmindo Imgur,Taman Sari,Ikan Asam Padeh,Sour and spicy fish,13,20000,FC1
Warkop Ihg,Kacapiring,Rendang Sapi,Dry and flavorful beef,14,30000,FC1
Warkop Ihg,Kacapiring,Dendeng Batoko,Spicy and flavorful beef slices,5,30000,FC1
Warkop Ihg,Kacapiring,Ikan Asam Padeh,Dry and flavorful beef,6,30000,FC1
