rname,rbranch,foodname,ingredient
Feedburner Eats,Bubutan,Risotto,4
Feedburner Eats,Bubutan,Risotto,7
Feedburner Eats,Bubutan,Risotto,10
Feedburner Eats,Bubutan,Risotto,18
Stanford Resto,Setiabudi,Salmon Sashimi,13
Stanford Resto,Setiabudi,Salmon Sashimi,8
Warmindo Imgur,Taman Sari,Rendang Sapi,2
Warmindo Imgur,Taman Sari,Rendang Sapi,3
Warmindo Imgur,Taman Sari,Rendang Sapi,6
Warmindo Imgur,Taman Sari,Rendang Sapi,7
Warmindo Imgur,Taman Sari,Rendang Sapi,8
Warmindo Imgur,Taman Sari,Rendang Sapi,12
Warmindo Imgur,Taman Sari,Rendang Sapi,14
Warmindo Imgur,Taman Sari,Rendang Sapi,16
Warung Webs,Penjaringan,Carbonara,1
Warung Webs,Penjaringan,Carbonara,2
Warung Webs,Penjaringan,Carbonara,6
Warung Webs,Penjaringan,Carbonara,15
Warung Webs,Penjaringan,Carbonara,17
Feedburner Eats,Bubutan,Carbonara,1
Feedburner Eats,Bubutan,Carbonara,2
Feedburner Eats,Bubutan,Carbonara,6
Feedburner Eats,Bubutan,Carbonara,15
Feedburner Eats,Bubutan,Carbonara,17
Feedburner Eats,Bubutan,Casserole,1
Feedburner Eats,Bubutan,Casserole,2
Feedburner Eats,Bubutan,Casserole,3
Feedburner Eats,Bubutan,Casserole,5
Feedburner Eats,Bubutan,Casserole,10
Feedburner Eats,Bubutan,Casserole,15
