rname,rbranch,foodname,pid,start_promo,end_promo
Warung Webs,Penjaringan,Risotto,P3,2022-02-02 12:00:00.000000,2022-02-08 00:00:00.000000
Feedburner Eats,Bubutan,Carbonara,P3,2022-01-03 00:00:00.000000,2022-01-05 12:00:00.000000
Warteg Yellowbook,Pakualaman,Som Tam,P4,2021-03-15 00:00:00.000000,2021-03-15 21:00:00.000000
Image Shack,Pademangan,Pad Thai,P3,2021-08-02 00:00:00.000000,2021-08-04 12:00:00.000000
Warmindo Imgur,Taman Sari,Ikan Asam Padeh,P4,2021-03-15 00:00:00.000000,2021-03-15 21:00:00.000000
Warkop Ihg,Kacapiring,Rendang Sapi,P5,2021-12-28 00:00:00.000000,2021-12-29 00:00:00.000000
Ovh Diner,Kebon Jeruk,Gudeg,P2,2022-08-12 00:00:00.000000,2022-08-12 21:00:00.000000
RM Xrea,Medan Kota,Rujak Cingur,P17,2022-08-13 12:00:00.000000,2022-08-27 00:00:00.000000
NatGeo Eats,Semarang Selatan,Yakisoba,P17,2022-03-22 00:00:00.000000,2022-03-29 12:00:00.000000
NatGeo Eats,Semarang Selatan,Tuna Nigiri,P19,2022-03-28 00:00:00.000000,2022-04-10 12:00:00.000000
